Cavaliers,Nets,6,13,18,13,3,16,,,,
Cavaliers,Clippers,-3,9,16,13,3,5,,,,
Cavaliers,Bulls,-7,-5,-14,-13,3,2,,,,
Cavaliers,Timberwolves,3,4,10,7,3,27,,,,
Cavaliers,Suns,-3,5,16,22,3,25,,,,
Cavaliers,Pistons,6,8,18,8,3,20,,,,
Cavaliers,Spurs,7,17,16,14,3,24,,,,
Cavaliers,Pacers,7,11,-4,5,3,18,,,,
Cavaliers,Hornets,0,9,-7,-9,3,9,,,,
Cavaliers,Celtics,12,6,8,-1,3,4,,,,
Cavaliers,Pelicans,8,11,4,15,3,19,,,,
Cavaliers,Kings,8,16,21,20,3,11,,,,
Cavaliers,Lakers,10,17,19,9,3,13,,,,
Cavaliers,Bulls,7,6,14,11,3,2,,,,
Cavaliers,Thunder,-1,9,22,23,3,26,,,,
Cavaliers,Pistons,-5,-7,-7,-8,3,20,,,,
Cavaliers,Hornets,-1,11,12,11,3,9,,,,
Cavaliers,Raptors,10,4,9,-2,3,21,,,,
Cavaliers,Wizards,-7,-9,-26,-14,3,30,,,,
Cavaliers,Pacers,-1,1,1,4,3,18,,,,
Cavaliers,Wizards,4,17,20,25,3,30,,,,
Cavaliers,Celtics,-13,1,8,17,3,4,,,,
Cavaliers,Grizzlies,-8,-9,-8,-3,3,6,,,,
Cavaliers,Kings,3,-6,5,9,3,11,,,,
Cavaliers,Lakers,2,9,13,12,3,13,,,,
Cavaliers,Clippers,2,17,23,24,3,5,,,,
Cavaliers,Jazz,-2,-4,0,-9,3,10,,,,
Cavaliers,Mavericks,3,6,16,1,3,15,,,,
Cavaliers,Magic,-2,9,-3,6,3,14,,,,
Cavaliers,Heat,-12,-21,-28,-21,3,8,,,,
Cavaliers,Nuggets,15,8,15,33,3,17,,,,
Cavaliers,Bucks,10,2,4,9,3,1,,,,
Cavaliers,Nets,-3,-10,3,-9,3,16,,,,
Cavaliers,Knicks,17,24,17,14,3,12,,,,
Cavaliers,Rockets,-2,19,13,-6,3,22,,,,
Cavaliers,Nets,7,24,26,20,3,16,,,,
Cavaliers,Hawks,9,14,6,2,3,7,,,,
Cavaliers,Hornets,10,16,15,9,3,9,,,,
Cavaliers,Bucks,14,24,26,29,3,1,,,,
Cavaliers,Pacers,-3,-9,-14,-14,3,18,,,,
Cavaliers,Bulls,4,2,3,-3,3,2,,,,
Cavaliers,Hawks,-4,6,15,15,3,7,,,,
Cavaliers,Pistons,-5,-14,-10,-2,3,20,,,,
Cavaliers,Pistons,2,-5,-2,5,3,20,,,,
Cavaliers,Pistons,-5,2,14,17,3,20,,,,
Cavaliers,Pistons,-3,1,6,10,3,20,,,,
Cavaliers,Pistons,-3,1,3,2,3,20,,,,
Cavaliers,Hawks,11,10,4,11,3,7,,,,
Cavaliers,Hawks,15,36,36,25,3,7,,,,
Cavaliers,Hawks,3,-8,-6,13,3,7,,,,
Cavaliers,Hawks,-9,-2,4,1,3,7,,,,
Cavaliers,Raptors,5,22,28,31,3,21,,,,
Cavaliers,Raptors,2,14,17,19,3,21,,,,
Cavaliers,Raptors,-3,-13,-10,-15,3,21,,,,
Cavaliers,Raptors,-3,-16,-9,-6,3,21,,,,
Cavaliers,Raptors,18,31,40,38,3,21,,,,
Cavaliers,Raptors,6,14,12,26,3,21,,,,
Cavaliers,Warriors,-4,-9,-6,-15,3,29,,,,
Cavaliers,Warriors,2,-8,-20,-33,3,29,,,,
Cavaliers,Warriors,17,8,20,30,3,29,,,,
Cavaliers,Warriors,-1,5,-2,-11,3,29,,,,
Cavaliers,Warriors,-3,0,9,15,3,29,,,,
Cavaliers,Warriors,20,16,9,14,3,29,,,,
Cavaliers,Warriors,1,-7,-1,4,3,29,,,,
Celtics,Seventysixers,-5,11,12,17,4,23,,,,
Celtics,Raptors,0,0,-9,-10,4,21,,,,
Celtics,Spurs,-10,-13,-10,-8,4,24,,,,
Celtics,Pacers,-7,-6,-1,-2,4,18,,,,
Celtics,Wizards,15,23,26,20,4,30,,,,
Celtics,Bucks,0,4,17,16,4,1,,,,
Celtics,Pacers,-8,-2,-7,-11,4,18,,,,
Celtics,Hawks,-3,0,11,13,4,7,,,,
Celtics,Thunder,0,-7,-2,15,4,26,,,,
Celtics,Rockets,-4,0,19,16,4,22,,,,
